group	variable	value
3/5/17	FI	0.49
3/5/17	FR	0.53
3/5/17	GB	0.51
3/5/17	GLOBAL	0.6
3/5/17	GR	0.26
3/5/17	GT	0.55
3/5/17	HK	0.6
3/5/17	HN	0.52
3/5/17	HU	0.5
3/5/17	ID	0.62
3/5/17	IE	0.49
3/5/17	IS	0.25
3/5/17	IT	0.57
3/5/17	JP	0.28
3/5/17	MX	0.61
3/5/17	MY	0.63
3/5/17	NL	0.48
3/5/17	NO	0.57
3/5/17	NZ	0.63
3/5/17	PA	0.54
3/5/17	PE	0.59
3/5/17	PH	0.66
3/5/17	PL	0.56
3/5/17	PT	0.58
3/5/17	PY	0.59
3/5/17	SE	0.49
3/5/17	SG	0.62
3/5/17	SV	0.51
3/5/17	TR	0.57
3/5/17	TW	0.53
3/5/17	US	0.53
3/5/17	UY	0.57
3/12/17	AR	0.55
3/12/17	AT	0.56
3/12/17	AU	0.62
3/12/17	BE	0.56
3/12/17	BO	0.54
3/12/17	BR	0.6
3/12/17	CA	0.56
3/12/17	CH	0.55
3/12/17	CL	0.51
3/12/17	CO	0.55
3/12/17	CR	0.63
3/12/17	CZ	0.53
3/12/17	DE	0.54
3/12/17	DK	0.52
3/12/17	DO	0.55
3/12/17	EC	0.64
3/12/17	ES	0.55
3/12/17	FI	0.43
3/12/17	FR	0.52
3/12/17	GB	0.51
3/12/17	GLOBAL	0.59
3/12/17	GR	0.23
3/12/17	GT	0.56
3/12/17	HK	0.58
3/12/17	HN	0.54
3/12/17	HU	0.49
3/12/17	ID	0.6
3/12/17	IE	0.52
3/12/17	IS	0.22
3/12/17	IT	0.54
3/12/17	JP	0.27
3/12/17	MX	0.63
3/12/17	MY	0.62
3/12/17	NL	0.45
3/12/17	NO	0.53
3/12/17	NZ	0.63
3/12/17	PA	0.55
3/12/17	PE	0.58
3/12/17	PH	0.66
3/12/17	PL	0.56
3/12/17	PT	0.58
3/12/17	PY	0.6
3/12/17	SE	0.5
3/12/17	SG	0.62
3/12/17	SV	0.53
3/12/17	TR	0.58
3/12/17	TW	0.54
3/12/17	US	0.53
3/12/17	UY	0.59
3/19/17	AR	0.53
3/19/17	AT	0.49
3/19/17	AU	0.56
3/19/17	BE	0.41
3/19/17	BO	0.55
3/19/17	BR	0.6
3/19/17	CA	0.47
3/19/17	CH	0.48
3/19/17	CL	0.52
3/19/17	CO	0.58
3/19/17	CR	0.61
3/19/17	CZ	0.46
3/19/17	DE	0.47
3/19/17	DK	0.43
3/19/17	DO	0.51
3/19/17	EC	0.64
3/19/17	ES	0.55
3/19/17	FI	0.34
3/19/17	FR	0.42
3/19/17	GB	0.48
3/19/17	GLOBAL	0.51
3/19/17	GR	0.19
3/19/17	GT	0.57
3/19/17	HK	0.56
3/19/17	HN	0.54
3/19/17	HU	0.4
3/19/17	ID	0.6
3/19/17	IE	0.48
3/19/17	IS	0.19
3/19/17	IT	0.51
3/19/17	JP	0.26
3/19/17	MX	0.63
3/19/17	MY	0.56
3/19/17	NL	0.36
3/19/17	NO	0.44
3/19/17	NZ	0.56
3/19/17	PA	0.52
3/19/17	PE	0.59
3/19/17	PH	0.63
3/19/17	PL	0.51
3/19/17	PT	0.49
3/19/17	PY	0.57
3/19/17	SE	0.41
3/19/17	SG	0.58
3/19/17	SV	0.57
3/19/17	TR	0.57
3/19/17	TW	0.48
3/19/17	US	0.47
3/19/17	UY	0.59
3/26/17	AR	0.53
3/26/17	AT	0.47
3/26/17	AU	0.54
3/26/17	BE	0.42
3/26/17	BO	0.5
3/26/17	BR	0.59
3/26/17	CA	0.46
3/26/17	CH	0.48
3/26/17	CL	0.51
3/26/17	CO	0.55
3/26/17	CR	0.6
3/26/17	CZ	0.46
3/26/17	DE	0.43
3/26/17	DK	0.41
3/26/17	DO	0.51
3/26/17	EC	0.62
3/26/17	ES	0.52
3/26/17	FI	0.39
3/26/17	FR	0.46
3/26/17	GB	0.47
3/26/17	GLOBAL	0.49
3/26/17	GR	0.19
3/26/17	GT	0.53
3/26/17	HK	0.54
3/26/17	HN	0.54
3/26/17	HU	0.45
3/26/17	ID	0.56
3/26/17	IE	0.46
3/26/17	IS	0.21
3/26/17	IT	0.49
3/26/17	JP	0.25
3/26/17	MX	0.61
3/26/17	MY	0.59
3/26/17	NL	0.38
3/26/17	NO	0.45
3/26/17	NZ	0.48
3/26/17	PA	0.52
3/26/17	PE	0.58
3/26/17	PH	0.6
3/26/17	PL	0.52
3/26/17	PT	0.5
3/26/17	PY	0.56
3/26/17	SE	0.45
3/26/17	SG	0.58
3/26/17	SV	0.54
3/26/17	TR	0.57
3/26/17	TW	0.47
3/26/17	US	0.44
3/26/17	UY	0.6
4/2/17	AR	0.52
4/2/17	AT	0.46
4/2/17	AU	0.54
4/2/17	BE	0.37
4/2/17	BO	0.5
4/2/17	BR	0.57
4/2/17	CA	0.44
4/2/17	CH	0.47
4/2/17	CL	0.49
4/2/17	CO	0.55
4/2/17	CR	0.61
4/2/17	CZ	0.46
4/2/17	DE	0.45
4/2/17	DK	0.41
4/2/17	DO	0.51
4/2/17	EC	0.6
4/2/17	ES	0.53
4/2/17	FI	0.36
4/2/17	FR	0.43
4/2/17	GB	0.44
4/2/17	GLOBAL	0.49
4/2/17	GR	0.2
4/2/17	GT	0.54
4/2/17	HK	0.54
4/2/17	HN	0.53
4/2/17	HU	0.44
4/2/17	ID	0.58
4/2/17	IE	0.44
4/2/17	IS	0.24
4/2/17	IT	0.49
4/2/17	JP	0.25
4/2/17	MX	0.61
4/2/17	MY	0.58
4/2/17	NL	0.34
4/2/17	NO	0.45
4/2/17	NZ	0.53
4/2/17	PA	0.51
4/2/17	PE	0.57
4/2/17	PH	0.59
4/2/17	PL	0.53
4/2/17	PT	0.52
4/2/17	PY	0.55
4/2/17	SE	0.42
4/2/17	SG	0.5
4/2/17	SV	0.5
4/2/17	TR	0.54
4/2/17	TW	0.47
4/2/17	US	0.41
4/2/17	UY	0.57
4/9/17	AR	0.48
4/9/17	AT	0.46
4/9/17	AU	0.51
4/9/17	BE	0.4
4/9/17	BO	0.46
4/9/17	BR	0.57
4/9/17	CA	0.4
4/9/17	CH	0.44
4/9/17	CL	0.47
4/9/17	CO	0.54
4/9/17	CR	0.61
4/9/17	CZ	0.45
4/9/17	DE	0.43
4/9/17	DK	0.4
4/9/17	DO	0.5
4/9/17	EC	0.6
4/9/17	ES	0.51
4/9/17	FI	0.35
4/9/17	FR	0.44
4/9/17	GB	0.41
4/9/17	GLOBAL	0.46
4/9/17	GR	0.18
4/9/17	GT	0.54
4/9/17	HK	0.52
4/9/17	HN	0.51
4/9/17	HU	0.43
4/9/17	ID	0.53
4/9/17	IE	0.42
4/9/17	IS	0.24
4/9/17	IT	0.44
4/9/17	JP	0.23
4/9/17	MX	0.59
4/9/17	MY	0.54
4/9/17	NL	0.36
4/9/17	NO	0.46
4/9/17	NZ	0.52
4/9/17	PA	0.48
4/9/17	PE	0.55
4/9/17	PH	0.57
4/9/17	PL	0.49
4/9/17	PT	0.51
4/9/17	PY	0.49
4/9/17	SE	0.41
4/9/17	SG	0.54
4/9/17	SV	0.52
4/9/17	TR	0.54
4/9/17	TW	0.41
4/9/17	US	0.39
4/9/17	UY	0.55
4/16/17	AR	0.5
4/16/17	AT	0.41
4/16/17	AU	0.5
4/16/17	BE	0.39
4/16/17	BO	0.43
4/16/17	BR	0.54
4/16/17	CA	0.38
4/16/17	CH	0.44
4/16/17	CL	0.47
4/16/17	CO	0.51
4/16/17	CR	0.58
4/16/17	CZ	0.43
4/16/17	DE	0.38
4/16/17	DK	0.38
4/16/17	DO	0.51
4/16/17	EC	0.59
4/16/17	ES	0.49
4/16/17	FI	0.31
4/16/17	FR	0.37
4/16/17	GB	0.41
4/16/17	GLOBAL	0.44
4/16/17	GR	0.12
4/16/17	GT	0.53
4/16/17	HK	0.5
4/16/17	HN	0.51
4/16/17	HU	0.33
4/16/17	ID	0.51
4/16/17	IE	0.41
4/16/17	IS	0.21
4/16/17	IT	0.4
4/16/17	JP	0.23
4/16/17	MX	0.59
4/16/17	MY	0.51
