group,variable,value
16-Apr,Canada,0.38
16-Apr,Costa Rica,0.58
16-Apr,Dominican Republic,0.51
16-Apr,Guatemala,0.53
16-Apr,Honduras,0.51
16-Apr,Mexico,0.59
16-Apr,Panama,0.49
16-Apr,El Salvador,0.48
16-Apr,United States,0.36
23-Apr,Canada,0.37
23-Apr,Costa Rica,0.53
23-Apr,Dominican Republic,0.49
23-Apr,Guatemala,0.44
23-Apr,Honduras,0.47
23-Apr,Mexico,0.56
23-Apr,Panama,0.47
23-Apr,El Salvador,0.45
23-Apr,United States,0.37
30-Apr,Canada,0.35
30-Apr,Costa Rica,0.53
30-Apr,Dominican Republic,0.46
30-Apr,Guatemala,0.43
30-Apr,Honduras,0.46
30-Apr,Mexico,0.54
30-Apr,Panama,0.41
30-Apr,El Salvador,0.41
30-Apr,United States,0.35
7-May,Canada,0.33
7-May,Costa Rica,0.51
7-May,Dominican Republic,0.46
7-May,Guatemala,0.41
7-May,Honduras,0.42
7-May,Mexico,0.53
7-May,Panama,0.4
7-May,El Salvador,0.4
7-May,United States,0.34
14-May,Canada,0.32
14-May,Costa Rica,0.51
14-May,Dominican Republic,0.42
14-May,Guatemala,0.4
14-May,Honduras,0.4
14-May,Mexico,0.53
14-May,Panama,0.41
14-May,El Salvador,0.37
14-May,United States,0.32
21-May,Canada,0.35
21-May,Costa Rica,0.47
21-May,Dominican Republic,0.41
21-May,Guatemala,0.39
21-May,Honduras,0.36
21-May,Mexico,0.5
21-May,Panama,0.39
21-May,El Salvador,0.35
21-May,United States,0.32
28-May,Canada,0.31
28-May,Costa Rica,0.48
28-May,Dominican Republic,0.41
28-May,Guatemala,0.39
28-May,Honduras,0.37
28-May,Mexico,0.49
28-May,Panama,0.39
28-May,El Salvador,0.35
28-May,United States,0.31
4-Jun,Canada,0.31
4-Jun,Costa Rica,0.46
4-Jun,Dominican Republic,0.39
4-Jun,Guatemala,0.39
4-Jun,Honduras,0.35
4-Jun,Mexico,0.5
4-Jun,Panama,0.35
4-Jun,El Salvador,0.35
4-Jun,United States,0.32
11-Jun,Canada,0.31
11-Jun,Costa Rica,0.44
11-Jun,Dominican Republic,0.38
11-Jun,Guatemala,0.38
11-Jun,Honduras,0.34
11-Jun,Mexico,0.48
11-Jun,Panama,0.33
11-Jun,El Salvador,0.34
11-Jun,United States,0.3
18-Jun,Canada,0.28
18-Jun,Costa Rica,0.47
18-Jun,Dominican Republic,0.38
18-Jun,Guatemala,0.36
18-Jun,Honduras,0.33
18-Jun,Mexico,0.49
18-Jun,Panama,0.32
18-Jun,El Salvador,0.31
18-Jun,United States,0.29
25-Jun,Canada,0.28
25-Jun,Costa Rica,0.45
25-Jun,Dominican Republic,0.35
25-Jun,Guatemala,0.33
25-Jun,Honduras,0.33
25-Jun,Mexico,0.46
25-Jun,Panama,0.3
25-Jun,El Salvador,0.32
25-Jun,United States,0.29
2-Jul,Canada,0.29
2-Jul,Costa Rica,0.42
2-Jul,Dominican Republic,0.34
2-Jul,Guatemala,0.32
2-Jul,Honduras,0.3
2-Jul,Mexico,0.44
2-Jul,Panama,0.28
2-Jul,El Salvador,0.3
2-Jul,United States,0.28
9-Jul,Canada,0.26
9-Jul,Costa Rica,0.41
9-Jul,Dominican Republic,0.32
9-Jul,Guatemala,0.33
9-Jul,Honduras,0.29
9-Jul,Mexico,0.42
9-Jul,Panama,0.27
9-Jul,El Salvador,0.3
9-Jul,United States,0.25
16-Jul,Canada,0.28
16-Jul,Costa Rica,0.41
16-Jul,Dominican Republic,0.31
16-Jul,Guatemala,0.32
16-Jul,Honduras,0.29
16-Jul,Mexico,0.4
16-Jul,Panama,0.26
16-Jul,El Salvador,0.26
16-Jul,United States,0.26
23-Jul,Canada,0.21
23-Jul,Costa Rica,0.38
23-Jul,Dominican Republic,0.28
23-Jul,Guatemala,0.31
23-Jul,Honduras,0.25
23-Jul,Mexico,0.38
23-Jul,Panama,0.24
23-Jul,El Salvador,0.26
23-Jul,United States,0.21
30-Jul,Canada,0.24
30-Jul,Costa Rica,0.38
30-Jul,Dominican Republic,0.26
30-Jul,Guatemala,0.29
30-Jul,Honduras,0.24
30-Jul,Mexico,0.39
30-Jul,Panama,0.25
30-Jul,El Salvador,0.25
30-Jul,United States,0.25
6-Aug,Canada,0.22
6-Aug,Costa Rica,0.37
6-Aug,Dominican Republic,0.25
6-Aug,Guatemala,0.29
6-Aug,Honduras,0.23
6-Aug,Mexico,0.4
6-Aug,Panama,0.23
6-Aug,El Salvador,0.23
6-Aug,United States,0.25
13-Aug,Canada,0.23
13-Aug,Costa Rica,0.34
13-Aug,Dominican Republic,0.23
13-Aug,Guatemala,0.28
13-Aug,Honduras,0.22
13-Aug,Mexico,0.37
13-Aug,Panama,0.21
13-Aug,El Salvador,0.23
13-Aug,United States,0.24
20-Aug,Canada,0.23
20-Aug,Costa Rica,0.33
20-Aug,Dominican Republic,0.23
20-Aug,Guatemala,0.26
20-Aug,Honduras,0.22
20-Aug,Mexico,0.35
20-Aug,Panama,0.2
20-Aug,El Salvador,0.22
20-Aug,United States,0.23
27-Aug,Canada,0.18
27-Aug,Costa Rica,0.34
27-Aug,Dominican Republic,0.21
27-Aug,Guatemala,0.24
27-Aug,Honduras,0.18
27-Aug,Mexico,0.35
27-Aug,Panama,0.18
27-Aug,El Salvador,0.21
27-Aug,United States,0.17
3-Sep,Canada,0.16
3-Sep,Costa Rica,0.32
3-Sep,Dominican Republic,0.21
3-Sep,Guatemala,0.23
3-Sep,Honduras,0.17
3-Sep,Mexico,0.35
3-Sep,Panama,0.17
3-Sep,El Salvador,0.21
3-Sep,United States,0.2
10-Sep,Canada,0.15
10-Sep,Costa Rica,0.31
10-Sep,Dominican Republic,0.18
10-Sep,Guatemala,0.24
10-Sep,Honduras,0.18
10-Sep,Mexico,0.34
10-Sep,Panama,0.17
10-Sep,El Salvador,0.17
10-Sep,United States,0.2
17-Sep,Canada,0.14
17-Sep,Costa Rica,0.32
17-Sep,Dominican Republic,0.19
17-Sep,Guatemala,0.22
17-Sep,Honduras,0.17
17-Sep,Mexico,0.33
17-Sep,Panama,0.16
17-Sep,El Salvador,0.17
17-Sep,United States,0.19
24-Sep,Canada,0.14
24-Sep,Costa Rica,0.29
24-Sep,Dominican Republic,0.19
24-Sep,Guatemala,0.22
24-Sep,Honduras,0.18
24-Sep,Mexico,0.32
24-Sep,Panama,0.16
24-Sep,El Salvador,0.17
24-Sep,United States,0.19
1-Oct,Canada,0.14
1-Oct,Costa Rica,0.29
1-Oct,Dominican Republic,0.17
1-Oct,Guatemala,0.23
1-Oct,Honduras,0.16
1-Oct,Mexico,0.3
1-Oct,Panama,0.16
1-Oct,El Salvador,0.16
1-Oct,United States,0.18
8-Oct,Canada,0.13
8-Oct,Costa Rica,0.29
8-Oct,Dominican Republic,0.18
8-Oct,Guatemala,0.22
8-Oct,Honduras,0.15
8-Oct,Mexico,0.31
8-Oct,Panama,0.14
8-Oct,El Salvador,0.11
8-Oct,United States,0.16
15-Oct,Canada,0.14
15-Oct,Costa Rica,0.28
15-Oct,Dominican Republic,0.17
15-Oct,Guatemala,0.23
15-Oct,Honduras,0.13
15-Oct,Mexico,0.29
15-Oct,Panama,0.15
15-Oct,El Salvador,0.13
15-Oct,United States,0.18
22-Oct,Canada,0.12
22-Oct,Costa Rica,0.27
22-Oct,Dominican Republic,0.16
22-Oct,Guatemala,0.21
22-Oct,Honduras,0.11
22-Oct,Mexico,0.28
22-Oct,Panama,0.13
22-Oct,El Salvador,0.14
22-Oct,United States,0.15
29-Oct,Canada,0.13
29-Oct,Costa Rica,0.27
29-Oct,Dominican Republic,0.14
29-Oct,Guatemala,0.21
29-Oct,Honduras,0.1
29-Oct,Mexico,0.28
29-Oct,Panama,0.12
29-Oct,El Salvador,0.1
29-Oct,United States,0.16
5-Nov,Canada,0.1
5-Nov,Costa Rica,0.26
5-Nov,Dominican Republic,0.17
5-Nov,Guatemala,0.19
5-Nov,Honduras,0.09
5-Nov,Mexico,0.25
5-Nov,Panama,0.14
5-Nov,El Salvador,0.1
5-Nov,United States,0.13
12-Nov,Canada,0.11
12-Nov,Costa Rica,0.26
12-Nov,Dominican Republic,0.15
12-Nov,Guatemala,0.2
12-Nov,Honduras,0.08
12-Nov,Mexico,0.25
12-Nov,Panama,0.12
12-Nov,El Salvador,0.08
12-Nov,United States,0.15
19-Nov,Canada,0.1
19-Nov,Costa Rica,0.27
19-Nov,Dominican Republic,0.14
19-Nov,Guatemala,0.2
19-Nov,Honduras,0.07
19-Nov,Mexico,0.25
19-Nov,Panama,0.11
19-Nov,El Salvador,0.09
19-Nov,United States,0.15
26-Nov,Canada,0.1
26-Nov,Costa Rica,0.26
26-Nov,Dominican Republic,0.14
26-Nov,Guatemala,0.19
26-Nov,Honduras,0.06
26-Nov,Mexico,0.24
26-Nov,Panama,0.13
26-Nov,El Salvador,0.08
26-Nov,United States,0.14
3-Dec,Canada,0.09
3-Dec,Costa Rica,0.26
3-Dec,Dominican Republic,0.12
3-Dec,Guatemala,0.18
3-Dec,Honduras,0.05
3-Dec,Mexico,0.25
3-Dec,Panama,0.11
3-Dec,El Salvador,0.07
3-Dec,United States,0.1
10-Dec,Canada,0.08
10-Dec,Costa Rica,0.26
10-Dec,Dominican Republic,0.14
10-Dec,Guatemala,0.19
10-Dec,Honduras,0.07
10-Dec,Mexico,0.27
10-Dec,Panama,0.11
10-Dec,El Salvador,0.09
10-Dec,United States,0.1
17-Dec,Canada,0.07
17-Dec,Costa Rica,0.28
17-Dec,Dominican Republic,0.12
17-Dec,Guatemala,0.18
17-Dec,Honduras,0.08
17-Dec,Mexico,0.26
17-Dec,Panama,0.12
17-Dec,El Salvador,0.08
17-Dec,United States,0.09
24-Dec,Canada,0.01
24-Dec,Costa Rica,0.26
24-Dec,Dominican Republic,0.13
24-Dec,Guatemala,0.17
24-Dec,Honduras,0.11
24-Dec,Mexico,0.24
24-Dec,Panama,0.11
24-Dec,El Salvador,0.11
24-Dec,United States,0.05
31-Dec,Canada,0.14
31-Dec,Costa Rica,0.26
31-Dec,Dominican Republic,0.14
31-Dec,Guatemala,0.19
31-Dec,Honduras,0.11
31-Dec,Mexico,0.26
31-Dec,Panama,0.15
31-Dec,El Salvador,0.12
31-Dec,United States,0.16
7-Jan,Canada,0.1
7-Jan,Costa Rica,0.24
7-Jan,Dominican Republic,0.1
7-Jan,Guatemala,0.17
7-Jan,Honduras,0.05
7-Jan,Mexico,0.23
7-Jan,Panama,0.1
7-Jan,El Salvador,0.07
7-Jan,United States,0.15
