group,variable,value
10-Sep,Ecuador,0.29
10-Sep,Peru,0.3
10-Sep,Paraguay,0.18
10-Sep,Uruguay,0.19
17-Sep,Argentina,0.24
17-Sep,Bolivia,0.16
17-Sep,Brazil,0.2
17-Sep,Chile,0.21
17-Sep,Colombia,0.32
17-Sep,Ecuador,0.28
17-Sep,Peru,0.28
17-Sep,Paraguay,0.16
17-Sep,Uruguay,0.22
24-Sep,Argentina,0.23
24-Sep,Bolivia,0.15
24-Sep,Brazil,0.19
24-Sep,Chile,0.23
24-Sep,Colombia,0.29
24-Sep,Ecuador,0.28
24-Sep,Peru,0.28
24-Sep,Paraguay,0.16
24-Sep,Uruguay,0.22
1-Oct,Argentina,0.22
1-Oct,Bolivia,0.15
1-Oct,Brazil,0.17
1-Oct,Chile,0.21
1-Oct,Colombia,0.29
1-Oct,Ecuador,0.26
1-Oct,Peru,0.28
1-Oct,Paraguay,0.14
1-Oct,Uruguay,0.2
8-Oct,Argentina,0.23
8-Oct,Bolivia,0.14
8-Oct,Brazil,0.18
8-Oct,Chile,0.22
8-Oct,Colombia,0.29
8-Oct,Ecuador,0.26
8-Oct,Peru,0.27
8-Oct,Paraguay,0.14
8-Oct,Uruguay,0.19
15-Oct,Argentina,0.24
15-Oct,Bolivia,0.11
15-Oct,Brazil,0.19
15-Oct,Chile,0.23
15-Oct,Colombia,0.3
15-Oct,Ecuador,0.24
15-Oct,Peru,0.26
15-Oct,Paraguay,0.14
15-Oct,Uruguay,0.18
22-Oct,Argentina,0.21
22-Oct,Bolivia,0.13
22-Oct,Brazil,0.16
22-Oct,Chile,0.22
22-Oct,Colombia,0.29
22-Oct,Ecuador,0.24
22-Oct,Peru,0.25
22-Oct,Paraguay,0.12
22-Oct,Uruguay,0.16
29-Oct,Argentina,0.21
29-Oct,Bolivia,0.11
29-Oct,Brazil,0.15
29-Oct,Chile,0.2
29-Oct,Colombia,0.28
29-Oct,Ecuador,0.24
29-Oct,Peru,0.26
29-Oct,Paraguay,0.12
29-Oct,Uruguay,0.15
5-Nov,Argentina,0.21
5-Nov,Bolivia,0.1
5-Nov,Brazil,0.14
5-Nov,Chile,0.2
5-Nov,Colombia,0.26
5-Nov,Ecuador,0.23
5-Nov,Peru,0.23
5-Nov,Paraguay,0.11
5-Nov,Uruguay,0.16
12-Nov,Argentina,0.2
12-Nov,Bolivia,0.11
12-Nov,Brazil,0.14
12-Nov,Chile,0.19
12-Nov,Colombia,0.26
12-Nov,Ecuador,0.22
12-Nov,Peru,0.23
12-Nov,Paraguay,0.12
12-Nov,Uruguay,0.16
19-Nov,Argentina,0.19
19-Nov,Bolivia,0.08
19-Nov,Brazil,0.12
19-Nov,Chile,0.18
19-Nov,Colombia,0.24
19-Nov,Ecuador,0.2
19-Nov,Peru,0.23
19-Nov,Paraguay,0.11
19-Nov,Uruguay,0.17
26-Nov,Argentina,0.18
26-Nov,Bolivia,0.08
26-Nov,Brazil,0.11
26-Nov,Chile,0.17
26-Nov,Colombia,0.24
26-Nov,Ecuador,0.21
26-Nov,Peru,0.23
26-Nov,Paraguay,0.1
26-Nov,Uruguay,0.17
3-Dec,Argentina,0.15
3-Dec,Bolivia,0.07
3-Dec,Brazil,0.1
3-Dec,Chile,0.17
3-Dec,Colombia,0.23
3-Dec,Ecuador,0.21
3-Dec,Peru,0.2
3-Dec,Paraguay,0.1
3-Dec,Uruguay,0.15
10-Dec,Argentina,0.17
10-Dec,Bolivia,0.07
10-Dec,Brazil,0.12
10-Dec,Chile,0.18
10-Dec,Colombia,0.24
10-Dec,Ecuador,0.21
10-Dec,Peru,0.2
10-Dec,Paraguay,0.11
10-Dec,Uruguay,0.18
17-Dec,Argentina,0.15
17-Dec,Bolivia,0.07
17-Dec,Brazil,0.11
17-Dec,Chile,0.18
17-Dec,Colombia,0.28
17-Dec,Ecuador,0.21
17-Dec,Peru,0.23
17-Dec,Paraguay,0.11
17-Dec,Uruguay,0.14
24-Dec,Argentina,0.18
24-Dec,Bolivia,0.07
24-Dec,Brazil,0.12
24-Dec,Chile,0.18
24-Dec,Colombia,0.36
24-Dec,Ecuador,0.2
24-Dec,Peru,0.2
24-Dec,Paraguay,0.1
24-Dec,Uruguay,0.18
31-Dec,Argentina,0.2
31-Dec,Bolivia,0.14
31-Dec,Brazil,0.12
31-Dec,Chile,0.24
31-Dec,Colombia,0.38
31-Dec,Ecuador,0.24
31-Dec,Peru,0.24
31-Dec,Paraguay,0.13
31-Dec,Uruguay,0.19
7-Jan,Argentina,0.17
7-Jan,Bolivia,0.07
7-Jan,Brazil,0.1
7-Jan,Chile,0.2
7-Jan,Colombia,0.28
7-Jan,Ecuador,0.21
7-Jan,Peru,0.23
7-Jan,Paraguay,0.13
7-Jan,Uruguay,0.17
